"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles",""
"C1","1","0.1uFx275V","","","","",""
"C2","1","220uF","","","","",""
"C3,C4,C5,C6,C7,C8,C9,C10,C11","9","100n","","","","",""
"D1,D2","2","RED","","","","",""
"D3,D4,D5,D6,D7,D8,D9,D10","8","LED","","","","",""
"D11","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"F1","1","1A 250V","","","","",""
"J1","1","Entrada de 12V","","","","",""
"J2","1","AC 220V","","","","",""
"J3","1","Caixa_1","","","","",""
"J4","1","Caixa_2","","","","",""
"J5","1","Caixa_3","","","","",""
"J6","1","Sensor de Fluxo","","","","",""
"J7","1","Screw_Terminal_01x04","","","","",""
"J8","1","Conn_01x03","","","","",""
"J9","1","Conn_01x05","","","","",""
"J10","1","Conn_01x10","","","","",""
"K1","1","Relay_SPDT","","","","",""
"PS1","1","MC00100","","","","MC00100:CONV_MC00100",""
"Q1,Q3,Q5,Q10","4","BC337","","","","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"Q2,Q4,Q6","3","BC327","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF"
"Q7,Q8,Q9","3","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1,R7,R8,R9,R10,R13,R14,R15,R16,R19,R20,R21,R22,R23,R28,R29,R30,R41","18","1K","","","","",""
"R2","1","1M","","","","",""
"R3,R25,R40,R42","4","220R","","","","",""
"R4,R5,R6","3","4K7","","","","",""
"R11,R12,R17,R18,R24,R26,R27,R31,R32,R33,R37,R38,R39,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54","25","10K","","","","",""
"R34,R35,R36","3","10R","","","","",""
"RV1","1","10D561K","","","","",""
"U1","1","HLK-10M05","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-10Mxx","http://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%9710W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%9110W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V1.8.pdf"
"U2","1","ESP32-S3-DEVKITC-1-N16R8V","","","","ESP32-S3-DEVKITC-1-N16R8V:XCVR_ESP32-S3-DEVKITC-1-N16R8V",""
"U3","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
"U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14","11","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U15","1","74HC14","","","","","http://www.ti.com/lit/gpn/sn74HC14"
